adult-alpha_1-beta_1-gamma_1,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
adult-alpha_1-beta_1-gamma_1,1571999410,137,-0.045,0.5719,0.0,1.0,0.6169,0.67
adult-alpha_1-beta_1-gamma_1,1571999417,138,1.2611,2.0008,0.0,1.0,0.7397,0.5
adult-alpha_1-beta_1-gamma_1,1571999424,139,-0.0296,0.4439,0.0,1.0,0.4735,0.83
adult-alpha_1-beta_1-gamma_1,1571999432,140,-0.5867,0.3529,0.0,1.0,0.9396,0.67
adult-alpha_1-beta_1-gamma_1,1571999439,141,0.177,0.628,0.0,1.0,0.4509,0.83
adult-alpha_1-beta_1-gamma_1,1571999446,142,-0.0971,0.4097,0.0,1.0,0.5068,0.67
adult-alpha_1-beta_1-gamma_1,1571999453,143,-0.2058,0.47,0.0,1.0,0.6758,0.67
adult-alpha_1-beta_1-gamma_1,1571999460,144,0.2688,0.6859,0.0,1.0,0.4171,1.0
adult-alpha_1-beta_1-gamma_1,1571999468,145,0.4576,1.0238,0.0,1.0,0.5662,0.5
adult-alpha_1-beta_1-gamma_1,1571999475,146,0.199,0.4224,0.0,1.0,0.2234,1.0
adult-alpha_1-beta_1-gamma_1,1571999482,147,0.8293,1.3817,0.0,1.0,0.5524,0.67
adult-alpha_1-beta_1-gamma_1,1571999490,148,-0.5224,0.4087,0.0,1.0,0.9311,0.5
adult-alpha_1-beta_1-gamma_1,1571999497,149,-0.367,0.4358,0.0,1.0,0.8029,0.5
adult-alpha_1-beta_1-gamma_1,1571999504,150,0.0424,0.3683,0.0,1.0,0.3259,1.0
adult-alpha_1-beta_1-gamma_1,1571999512,151,-0.1787,0.3806,0.0,1.0,0.5592,0.67
adult-alpha_1-beta_1-gamma_1,1571999519,152,0.0516,0.3521,0.0,1.0,0.3005,0.83
adult-alpha_1-beta_1-gamma_1,1571999526,153,-0.0965,0.3513,0.0,1.0,0.4478,0.83
adult-alpha_1-beta_1-gamma_1,1571999533,154,0.9979,1.4987,0.0,1.0,0.5009,0.67
adult-alpha_1-beta_1-gamma_1,1571999541,155,-0.2516,0.4823,0.0,1.0,0.7338,0.33
adult-alpha_1-beta_1-gamma_1,1571999548,156,0.3246,0.7509,0.0,1.0,0.4263,0.83
adult-alpha_1-beta_1-gamma_1,1571999555,157,0.6928,0.9939,0.0,1.0,0.3012,0.83
adult-alpha_1-beta_1-gamma_1,1571999563,158,-0.0872,0.3653,0.0,1.0,0.4524,0.67
adult-alpha_1-beta_1-gamma_1,1571999570,159,-0.2128,0.3903,0.0,1.0,0.6032,0.67
adult-alpha_1-beta_1-gamma_1,1571999577,160,0.1156,0.5966,0.0,1.0,0.481,0.83
adult-alpha_1-beta_1-gamma_1,1571999584,161,0.1011,0.5536,0.0,1.0,0.4525,0.67
adult-alpha_1-beta_1-gamma_1,1571999591,162,-0.1098,0.2615,0.0,1.0,0.3713,0.83
adult-alpha_1-beta_1-gamma_1,1571999599,163,-0.1734,0.3741,0.0,1.0,0.5475,0.83
adult-alpha_1-beta_1-gamma_1,1571999606,164,1.6802,2.0844,0.0,1.0,0.4041,0.83
adult-alpha_1-beta_1-gamma_1,1571999613,165,0.0005,0.584,0.0,1.0,0.5835,0.83
adult-alpha_1-beta_1-gamma_1,1571999621,166,0.4319,1.0492,0.0,1.0,0.6173,0.5
adult-alpha_1-beta_1-gamma_1,1571999628,167,4.9733,5.7079,0.0,1.0,0.7346,0.67
adult-alpha_1-beta_1-gamma_1,1571999635,168,0.1363,0.8367,0.0,1.0,0.7004,0.67
adult-alpha_1-beta_1-gamma_1,1571999643,169,-0.1797,0.4009,0.0,1.0,0.5806,0.83
adult-alpha_1-beta_1-gamma_1,1571999650,170,0.1653,0.869,0.0,1.0,0.7038,0.5
adult-alpha_1-beta_1-gamma_1,1571999657,171,0.0662,0.7037,0.0,1.0,0.6375,0.67
adult-alpha_1-beta_1-gamma_1,1571999664,172,0.1535,0.7065,0.0,1.0,0.553,0.67
adult-alpha_1-beta_1-gamma_1,1571999671,173,3.6048,4.0413,0.0,1.0,0.4365,0.83
adult-alpha_1-beta_1-gamma_1,1571999679,174,0.5364,0.812,0.0,1.0,0.2755,0.83
adult-alpha_1-beta_1-gamma_1,1571999686,175,3.9563,4.1781,0.0,1.0,0.2218,1.0
adult-alpha_1-beta_1-gamma_1,1571999693,176,0.0634,0.4284,0.0,1.0,0.3651,0.67
adult-alpha_1-beta_1-gamma_1,1571999701,177,-0.4577,0.4456,0.0,1.0,0.9033,0.33
adult-alpha_1-beta_1-gamma_1,1571999708,178,0.0441,0.2996,0.0,1.0,0.2555,1.0
adult-alpha_1-beta_1-gamma_1,1571999715,179,0.871,1.5054,0.0,1.0,0.6344,0.67
adult-alpha_1-beta_1-gamma_1,1571999722,180,-0.1575,0.41,0.0,1.0,0.5674,0.67
adult-alpha_1-beta_1-gamma_1,1571999730,181,0.1315,0.7541,0.0,1.0,0.6226,0.5
adult-alpha_1-beta_1-gamma_1,1571999737,182,0.2111,0.6101,0.0,1.0,0.399,0.83
adult-alpha_1-beta_1-gamma_1,1571999744,183,-0.1289,0.4554,0.0,1.0,0.5843,0.5
adult-alpha_1-beta_1-gamma_1,1571999751,184,-0.0923,0.3414,0.0,1.0,0.4338,0.83
adult-alpha_1-beta_1-gamma_1,1571999759,185,0.0117,0.2852,0.0,1.0,0.2735,0.83
adult-alpha_1-beta_1-gamma_1,1571999766,186,0.4545,1.3091,0.0,1.0,0.8546,0.67
adult-alpha_1-beta_1-gamma_1,1571999773,187,-0.0884,0.5018,0.0,1.0,0.5903,0.67
adult-alpha_1-beta_1-gamma_1,1571999781,188,-0.089,0.5748,0.0,1.0,0.6638,0.67
adult-alpha_1-beta_1-gamma_1,1571999788,189,1.5431,2.0481,0.0,1.0,0.505,0.83
adult-alpha_1-beta_1-gamma_1,1571999795,190,3.5934,4.137,0.0,1.0,0.5436,0.5
adult-alpha_1-beta_1-gamma_1,1571999802,191,0.24,0.5845,0.0,1.0,0.3445,0.67
adult-alpha_1-beta_1-gamma_1,1571999810,192,0.099,0.4273,0.0,1.0,0.3283,0.83
adult-alpha_1-beta_1-gamma_1,1571999817,193,0.9095,1.4337,0.0,1.0,0.5242,0.83
adult-alpha_1-beta_1-gamma_1,1571999824,194,-0.1797,0.4664,0.0,1.0,0.646,0.83
adult-alpha_1-beta_1-gamma_1,1571999832,195,0.4626,0.7129,0.0,1.0,0.2502,0.83
adult-alpha_1-beta_1-gamma_1,1571999839,196,2.4094,2.6772,0.0,1.0,0.2678,1.0
adult-alpha_1-beta_1-gamma_1,1571999847,197,0.078,0.4428,0.0,1.0,0.3648,0.83
adult-alpha_1-beta_1-gamma_1,1571999854,198,0.0097,0.538,0.0,1.0,0.5282,0.67
adult-alpha_1-beta_1-gamma_1,1571999861,199,2.0086,2.718,0.0,1.0,0.7094,0.5
adult-alpha_1-beta_1-gamma_1,1571999868,200,0.1741,0.5274,0.0,1.0,0.3533,1.0
adult-alpha_1-beta_1-gamma_1,1571999876,201,0.1094,0.746,0.0,1.0,0.6366,0.67
adult-alpha_1-beta_1-gamma_1,1571999883,202,0.3517,0.9408,0.0,1.0,0.5891,0.83
adult-alpha_1-beta_1-gamma_1,1571999891,203,0.1336,0.6541,0.0,1.0,0.5205,1.0
adult-alpha_1-beta_1-gamma_1,1571999898,204,0.1592,0.8928,0.0,1.0,0.7336,0.67
adult-alpha_1-beta_1-gamma_1,1571999905,205,0.0082,0.5731,0.0,1.0,0.5649,0.67
adult-alpha_1-beta_1-gamma_1,1571999913,206,0.3932,0.9337,0.0,1.0,0.5405,0.83
adult-alpha_1-beta_1-gamma_1,1571999920,207,0.0536,0.5367,0.0,1.0,0.4831,0.67
adult-alpha_1-beta_1-gamma_1,1571999927,208,0.255,1.0332,0.0,1.0,0.7782,0.33
adult-alpha_1-beta_1-gamma_1,1571999935,209,-0.1089,0.4931,0.0,1.0,0.602,0.67
adult-alpha_1-beta_1-gamma_1,1571999942,210,0.1847,1.0531,0.0,1.0,0.8684,0.33
adult-alpha_1-beta_1-gamma_1,1571999949,211,0.2332,0.3858,0.0,1.0,0.1526,1.0
adult-alpha_1-beta_1-gamma_1,1571999957,212,1.619,2.0709,0.0,1.0,0.4518,0.67
adult-alpha_1-beta_1-gamma_1,1571999964,213,-0.239,0.3642,0.0,1.0,0.6032,0.67
adult-alpha_1-beta_1-gamma_1,1571999971,214,-0.1594,0.4555,0.0,1.0,0.6148,0.67
adult-alpha_1-beta_1-gamma_1,1571999979,215,0.207,0.6717,0.0,1.0,0.4648,1.0
adult-alpha_1-beta_1-gamma_1,1571999986,216,0.5447,1.068,0.0,1.0,0.5233,0.83
adult-alpha_1-beta_1-gamma_1,1571999994,217,0.1027,0.4572,0.0,1.0,0.3545,0.83
adult-alpha_1-beta_1-gamma_1,1572000001,218,0.1592,0.8069,0.0,1.0,0.6477,0.67
adult-alpha_1-beta_1-gamma_1,1572000008,219,0.2276,0.5074,0.0,1.0,0.2798,1.0
adult-alpha_1-beta_1-gamma_1,1572000015,220,0.0366,0.4453,0.0,1.0,0.4086,0.83
adult-alpha_1-beta_1-gamma_1,1572000023,221,0.0066,0.5385,0.0,1.0,0.5318,0.67
adult-alpha_1-beta_1-gamma_1,1572000030,222,-0.31,0.405,0.0,1.0,0.715,0.33
adult-alpha_1-beta_1-gamma_1,1572000037,223,2.0314,2.7031,0.0,1.0,0.6717,0.67
adult-alpha_1-beta_1-gamma_1,1572000045,224,0.4094,0.6933,0.0,1.0,0.2839,0.83
adult-alpha_1-beta_1-gamma_1,1572000052,225,0.6132,1.0726,0.0,1.0,0.4594,0.83
adult-alpha_1-beta_1-gamma_1,1572000059,226,0.1111,0.5052,0.0,1.0,0.394,0.83
adult-alpha_1-beta_1-gamma_1,1572000066,227,-0.1966,0.4489,0.0,1.0,0.6455,0.83
adult-alpha_1-beta_1-gamma_1,1572000074,228,1.5479,1.9417,0.0,1.0,0.3938,0.67
adult-alpha_1-beta_1-gamma_1,1572000081,229,0.0636,0.3675,0.0,1.0,0.3039,0.83
adult-alpha_1-beta_1-gamma_1,1572000088,230,-0.1689,0.3022,0.0,1.0,0.4711,0.67
adult-alpha_1-beta_1-gamma_1,1572000096,231,-0.3136,0.3915,0.0,1.0,0.7052,0.67
adult-alpha_1-beta_1-gamma_1,1572000103,232,-0.5152,0.3922,0.0,1.0,0.9074,0.5
adult-alpha_1-beta_1-gamma_1,1572000110,233,1.6848,2.9312,0.0,1.0,1.2464,0.17
adult-alpha_1-beta_1-gamma_1,1572000118,234,1.2232,1.9417,0.0,1.0,0.7186,0.67
adult-alpha_1-beta_1-gamma_1,1572000125,235,0.0315,0.5362,0.0,1.0,0.5046,0.5
adult-alpha_1-beta_1-gamma_1,1572000132,236,0.0468,0.6459,0.0,1.0,0.5991,0.67
adult-alpha_1-beta_1-gamma_1,1572000139,237,1.7945,2.3712,0.0,1.0,0.5766,0.33
adult-alpha_1-beta_1-gamma_1,1572000147,238,0.085,0.5245,0.0,1.0,0.4396,0.83
adult-alpha_1-beta_1-gamma_1,1572000154,239,1.1707,1.6826,0.0,1.0,0.5119,0.67
adult-alpha_1-beta_1-gamma_1,1572000161,240,0.1691,0.4994,0.0,1.0,0.3303,1.0
adult-alpha_1-beta_1-gamma_1,1572000169,241,0.1499,0.4595,0.0,1.0,0.3096,1.0
adult-alpha_1-beta_1-gamma_1,1572000176,242,-0.0763,0.3918,0.0,1.0,0.4682,0.83
adult-alpha_1-beta_1-gamma_1,1572000183,243,0.8764,1.0461,0.0,1.0,0.1697,1.0
adult-alpha_1-beta_1-gamma_1,1572000190,244,0.2151,0.3849,0.0,1.0,0.1698,1.0
adult-alpha_1-beta_1-gamma_1,1572000198,245,-0.1019,0.4978,0.0,1.0,0.5997,0.83
adult-alpha_1-beta_1-gamma_1,1572000205,246,0.1112,0.444,0.0,1.0,0.3328,0.83
