compas-alpha_1-beta_0.0-gamma_0.5,timestamp,epoch,enc_loss,dec_loss,cla_loss,cla_acc,dis_loss,dis_acc
compas-alpha_1-beta_0.0-gamma_0.5,1571660504,968,0.6176,0.0,0.6176,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660504,969,0.6672,0.0,0.6672,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660505,970,0.5907,0.0,0.5907,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660505,971,0.5515,0.0,0.5515,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660506,972,0.5751,0.0,0.5751,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660506,973,0.5322,0.0,0.5322,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660507,974,0.6849,0.0,0.6849,0.6,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660507,975,0.6046,0.0,0.6046,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660508,976,0.6959,0.0,0.6959,0.57,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660508,977,0.5452,0.0,0.5452,0.8,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660509,978,0.6977,0.0,0.6977,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660510,979,0.7005,0.0,0.7005,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660510,980,0.5748,0.0,0.5748,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660511,981,0.5638,0.0,0.5638,0.73,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660511,982,0.6942,0.0,0.6942,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660512,983,0.642,0.0,0.642,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660512,984,0.6007,0.0,0.6007,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660513,985,0.5306,0.0,0.5306,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660513,986,0.6455,0.0,0.6455,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660514,987,0.4941,0.0,0.4941,0.83,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660514,988,0.6768,0.0,0.6768,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660515,989,0.7074,0.0,0.7074,0.53,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660515,990,0.6571,0.0,0.6571,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660516,991,0.6629,0.0,0.6629,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660516,992,0.6144,0.0,0.6144,0.63,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660517,993,0.589,0.0,0.589,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660518,994,0.6242,0.0,0.6242,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660518,995,0.663,0.0,0.663,0.67,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660519,996,0.603,0.0,0.603,0.7,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660519,997,0.7275,0.0,0.7275,0.47,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660520,998,0.4913,0.0,0.4913,0.77,0.0,1.0
compas-alpha_1-beta_0.0-gamma_0.5,1571660521,999,0.8161,0.0,0.8161,0.57,0.0,1.0
